Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 10, nFeatures = 150

feature |          frame
        |                 0                 1                 2                 3                 4                 5                 6                 7                 8                 9
--------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     40 | ( 131.0, 143.0)=1086( 128.2, 142.8)= 0( 128.0, 143.0)= 0( 122.7, 142.4)= 0( 120.1, 142.2)= 0( 117.3, 142.1)= 0( 114.7, 141.8)= 0( 112.1, 141.5)= 0( 109.4, 141.3)= 0( 106.8, 141.0)= 0
     41 | ( 203.0, 115.0)=1065( 199.1, 114.9)= 0( 199.0, 115.0)= 0( 191.1, 114.8)= 0( 187.1, 114.9)= 0( 183.2, 114.8)= 0( 179.3, 114.7)= 0( 175.6, 114.7)= 0( 171.7, 114.6)= 0( 167.7, 114.6)= 0
     42 | ( 187.0, 204.0)=984(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4
     43 | ( 195.0, 172.0)=879( 190.6, 172.0)= 0( 191.0, 172.0)= 0( 181.8, 171.9)= 0( 177.4, 171.8)= 0( 173.1, 171.7)= 0( 168.7, 171.6)= 0( 164.4, 171.6)= 0( 160.2, 171.5)= 0( 155.8, 171.4)= 0
     44 | ( 197.0, 127.0)=819( 193.2, 127.0)= 0( 193.0, 127.0)= 0( 185.6, 126.8)= 0( 181.8, 126.8)= 0( 178.0, 126.6)= 0( 174.3, 126.5)= 0( 170.6, 126.4)= 0( 166.9, 126.4)= 0( 163.1, 126.2)= 0
     45 | ( 141.0, 207.0)=810( 136.7, 206.9)= 0( 137.0, 207.0)= 0( 128.0, 206.5)= 0( 123.8, 206.3)= 0( 119.5, 206.2)= 0( 115.2, 205.9)= 0( 111.2, 205.7)= 0( 106.9, 205.5)= 0( 102.7, 205.3)= 0
     46 | ( 209.0, 132.0)=775( 204.9, 132.0)= 0( 205.0, 132.0)= 0( 196.6, 132.0)= 0( 192.5, 132.0)= 0( 188.4, 132.0)= 0( 184.2, 131.9)= 0( 180.2, 132.0)= 0( 176.1, 131.9)= 0( 172.1, 131.9)= 0
     47 | ( 158.0, 205.0)=522( 153.4, 204.9)= 0( 153.0, 205.0)= 0( 143.9, 204.6)= 0( 139.1, 204.6)= 0( 134.5, 204.4)= 0( 129.9, 204.3)= 0( 125.3, 204.2)= 0( 120.7, 204.0)= 0( 116.0, 203.8)= 0
     48 | ( 206.0, 208.0)=492( 200.2, 208.1)= 0( 200.0, 208.0)= 0(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4
     49 | (  79.0, 109.0)=376(  74.2, 108.9)= 0(  74.0, 109.0)= 0(  64.5, 108.6)= 0(  59.8, 108.5)= 0(  54.9, 108.3)= 0(  50.4, 108.2)= 0(  46.2, 108.0)= 0(  41.3, 107.9)= 0(  36.5, 107.7)= 0
     50 | (  76.0,  69.0)=359(  71.6,  68.9)= 0(  72.0,  69.0)= 0(  62.7,  68.8)= 0(  58.4,  68.7)= 0(  53.7,  68.5)= 0(  48.9,  68.4)= 0(  44.3,  68.2)= 0(  39.8,  68.1)= 0(  35.5,  68.0)= 0
     51 | (  90.0,  31.0)=344(  87.2,  30.9)= 0(  87.0,  31.0)= 0(  81.9,  30.9)= 0(  79.3,  30.9)= 0(  76.7,  30.9)= 0(  74.1,  30.9)= 0(  71.5,  30.9)= 0(  68.9,  30.9)= 0(  66.3,  30.8)= 0
     52 | ( 208.0, 176.0)=309( 203.6, 176.0)= 0( 204.0, 176.0)= 0( 194.9, 176.0)= 0( 190.7, 176.0)= 0( 186.2, 176.0)= 0( 182.0, 176.0)= 0( 177.8, 175.9)= 0( 173.4, 175.9)= 0( 169.0, 175.8)= 0
     53 | ( 141.0, 142.0)=299( 138.3, 142.0)= 0( 138.0, 142.0)= 0( 133.1, 142.0)= 0( 130.5, 142.0)= 0( 127.6, 142.0)= 0( 124.4, 142.0)= 0( 121.3, 141.7)= 0( 118.2, 141.0)= 0( 115.7, 138.9)= 0
     54 | ( 185.0, 155.0)=286( 180.8, 154.9)= 0( 181.0, 155.0)= 0( 172.3, 154.6)= 0( 168.1, 154.6)= 0( 163.9, 154.5)= 0( 159.8, 154.4)= 0( 155.6, 154.2)= 0( 151.5, 154.1)= 0( 147.4, 154.0)= 0
     55 | ( 183.0, 125.0)=280( 179.4, 125.0)= 0( 179.0, 125.0)= 0( 172.3, 125.1)= 0( 168.8, 125.1)= 0( 165.3, 125.1)= 0( 161.9, 125.1)= 0( 158.5, 125.0)= 0( 154.9, 125.0)= 0( 151.4, 125.0)= 0
     56 | ( 110.0, 158.0)=226( 106.9, 158.0)= 0( 107.0, 158.0)= 0( 101.4, 157.7)= 0(  98.8, 157.6)= 0(  95.9, 157.5)= 0(  93.0, 157.4)= 0(  90.1, 157.3)= 0(  87.2, 157.2)= 0(  84.4, 157.1)= 0
     57 | ( 102.0,  95.0)=222(  98.8,  95.0)= 0(  99.0,  95.0)= 0(  93.0,  94.9)= 0(  90.2,  94.8)= 0(  87.3,  94.8)= 0(  84.6,  94.8)= 0(  81.7,  94.7)= 0(  78.9,  94.7)= 0(  76.1,  94.6)= 0
     58 | ( 124.0, 197.0)=214( 120.1, 197.3)= 0( 120.0, 197.0)= 0( 112.7, 197.5)= 0( 109.1, 197.5)= 0( 105.5, 197.5)= 0( 101.8, 197.8)= 0(  97.8, 198.2)= 0(  94.2, 198.2)= 0(  90.8, 198.1)= 0
     59 | ( 196.0, 156.0)=203( 191.8, 155.9)= 0( 192.0, 156.0)= 0( 183.4, 155.7)= 0( 179.3, 155.6)= 0( 175.2, 155.4)= 0( 171.0, 155.4)= 0( 166.9, 155.2)= 0( 162.7, 155.0)= 0( 158.6, 155.0)= 0
     60 | (  16.0,  56.0)=202(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4
     61 | (  62.0,  10.0)=190(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4
     62 | (  10.0,  76.0)=188(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4
     63 | ( 149.0, 186.0)=184( 145.0, 185.8)= 0( 145.0, 186.0)= 0( 136.9, 185.4)= 0( 132.8, 185.3)= 0( 128.8, 185.1)= 0( 124.8, 184.8)= 0( 120.8, 184.8)= 0( 116.8, 184.5)= 0( 112.9, 184.2)= 0
     64 | ( 120.0, 173.0)=174( 117.0, 173.0)= 0( 117.0, 173.0)= 0( 111.5, 172.7)= 0( 108.8, 172.5)= 0( 105.9, 172.5)= 0( 103.0, 172.4)= 0( 100.5, 172.3)= 0(  97.5, 172.2)= 0(  94.5, 172.2)= 0
     65 | ( 141.0, 132.0)=172( 138.3, 131.9)= 0( 138.0, 132.0)= 0( 133.1, 131.6)= 0( 130.4, 131.3)= 0( 129.0, 131.9)= 0( 127.3, 131.6)= 0( 125.3, 131.9)= 0( 122.9, 132.2)= 0( 120.3, 131.6)= 0
     66 | (  65.0, 109.0)=171(  60.3, 108.9)= 0(  60.0, 109.0)= 0(  50.8, 108.7)= 0(  46.1, 108.6)= 0(  41.4, 108.4)= 0(  36.8, 108.3)= 0(  32.1, 108.1)= 0(  27.6, 108.0)= 0(  -1.0,  -1.0)=-4
     67 | ( 147.0, 197.0)=163( 142.7, 196.8)= 0( 143.0, 197.0)= 0( 134.4, 196.4)= 0( 130.5, 196.1)= 0( 126.3, 195.9)= 0( 122.3, 195.6)= 0( 118.3, 195.4)= 0( 114.2, 195.2)= 0( 110.3, 194.9)= 0
     68 | ( 149.0, 153.0)=159( 145.4, 152.4)= 0( 145.0, 152.0)= 0( 138.1, 152.3)= 0( 134.5, 152.0)= 0( 131.2, 151.4)= 0( 127.6, 151.0)= 0( 124.2, 150.6)= 0( 120.6, 150.4)= 0( 117.1, 150.3)= 0
     69 | ( 155.0, 176.0)=158( 150.9, 175.8)= 0( 151.0, 176.0)= 0( 143.2, 175.3)= 0( 139.6, 175.0)= 0( 135.7, 174.8)= 0( 131.9, 174.7)= 0( 128.3, 174.4)= 0( 124.1, 174.3)= 0( 120.5, 174.0)= 0
     70 | ( 209.0, 148.0)=155( 204.9, 148.0)= 0( 205.0, 148.0)= 0( 196.6, 148.1)= 0( 192.4, 148.1)= 0( 188.3, 148.1)= 0( 184.3, 148.1)= 0( 180.1, 148.1)= 0( 176.0, 148.2)= 0( 172.0, 148.2)= 0
     71 | (  54.0, 109.0)=136(  49.2, 108.9)= 0(  49.0, 109.0)= 0(  39.8, 108.7)= 0(  35.0, 108.5)= 0(  30.5, 108.4)= 0(  25.9, 108.3)= 0(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4
     72 | ( 195.0, 137.0)=134( 190.8, 137.5)= 0( 191.0, 138.0)= 0( 182.7, 137.6)= 0( 178.8, 137.3)= 0( 174.7, 137.7)= 0( 170.6, 137.8)= 0( 166.8, 137.5)= 0( 162.7, 137.7)= 0( 158.7, 137.6)= 0
     73 | ( 193.0, 192.0)=124( 187.9, 192.0)= 0( 188.0, 192.0)= 0( 178.2, 191.9)= 0( 173.2, 191.9)= 0( 168.5, 191.8)= 0( 163.6, 191.8)= 0( 158.7, 191.7)= 0( 153.9, 191.6)= 0( 149.0, 191.5)= 0
     74 | ( 100.0,  25.0)=109(  97.1,  24.9)= 0(  97.0,  25.0)= 0(  91.7,  25.0)= 0(  88.8,  24.9)= 0(  86.3,  25.0)= 0(  83.6,  25.0)= 0(  81.0,  25.0)= 0(  78.3,  24.9)= 0(  75.7,  25.0)= 0
     75 | ( 183.0, 192.0)=92( 178.3, 191.9)= 0( 178.0, 192.0)= 0( 169.2, 191.7)= 0( 164.3, 191.7)= 0( 159.7, 191.6)= 0( 155.0, 191.5)= 0( 150.4, 191.5)= 0( 145.7, 191.3)= 0( 141.2, 191.2)= 0
     76 | ( 120.0, 155.0)=88( 117.0, 155.0)= 0( 117.0, 155.0)= 0( 111.4, 154.8)= 0( 108.8, 154.6)= 0( 106.0, 154.6)= 0( 103.1, 154.6)= 0( 100.4, 154.5)= 0(  97.6, 154.5)= 0(  94.8, 154.4)= 0
     77 | ( 164.0, 139.0)=76( 160.0, 139.3)= 0( 160.0, 139.0)= 0( 152.6, 139.1)= 0( 149.1, 139.0)= 0( 145.3, 139.1)= 0( 141.7, 138.9)= 0( 138.2, 138.9)= 0( 134.3, 138.9)= 0( 130.6, 138.9)= 0
     78 | ( 145.0, 172.0)=67( 141.3, 171.7)= 0( 141.0, 172.0)= 0( 133.7, 171.8)= 0( 129.7, 172.5)= 0( 125.9, 172.7)= 0( 122.1, 172.9)= 0( 118.3, 173.3)= 0( 114.4, 173.8)= 0( 110.6, 174.1)= 0
     79 | ( 110.0, 171.0)=66( 106.6, 171.0)= 0( 107.0, 171.0)= 0( 100.7, 170.8)= 0(  98.3, 170.5)= 0(  95.7, 170.4)= 0(  92.5, 170.4)= 0(  89.6, 170.3)= 0(  86.8, 170.3)= 0(  84.2, 170.1)= 0
     80 | ( 171.0, 119.0)=64( 168.2, 118.4)= 0( 168.0, 118.0)= 0( 163.0, 117.2)= 0( 160.8, 116.4)= 0( 158.0, 115.9)= 0( 155.3, 115.3)= 0( 152.6, 114.8)= 0( 149.8, 114.2)= 0( 147.0, 113.8)= 0
     81 | ( 144.0, 112.0)=63( 141.8, 111.9)= 0( 142.0, 112.0)= 0( 137.5, 111.8)= 0( 135.4, 112.1)= 0( 133.3, 112.0)= 0( 131.1, 111.7)= 0( 129.1, 111.9)= 0( 126.9, 111.7)= 0( 124.8, 111.7)= 0
     82 | (  54.0,  74.0)=54(  49.5,  73.9)= 0(  50.0,  74.0)= 0(  40.2,  73.8)= 0(  35.5,  73.7)= 0(  31.0,  73.6)= 0(  26.6,  73.6)= 0(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4(  -1.0,  -1.0)=-4
     83 | ( 177.0, 140.0)=50( 172.9, 139.9)= 0( 173.0, 140.0)= 0( 165.1, 139.9)= 0( 161.5, 140.1)= 0( 157.5, 140.2)= 0( 153.8, 140.2)= 0( 150.2, 140.0)= 0( 146.4, 139.9)= 0( 142.6, 139.9)= 0
